time,pitch,pitch_rate,x,x_velocity,x_drift,wheel_torque,base_height
0.048000000000000036,0.011665762201817306,0.46624143109415106,-0.0017688253464631823,-0.0771088015027781,-0.0017688253464631823,1.452752639278833,0.333611017694726
0.04900000000000004,0.012147836318113295,0.468333665605971,-0.0018468957847980545,-0.07807043833487227,-0.0018468957847980545,1.4622568047461342,0.3332348535160907
0.05000000000000004,0.012631968398763026,0.4697231733108388,-0.0019258421233198776,-0.07894633852182313,-0.0019258421233198776,1.4693550639038049,0.33285254760857863
0.05100000000000004,0.013117466859266092,0.47040717909570706,-0.002005577182967694,-0.07973505964781666,-0.002005577182967694,1.474031949561628,0.3324641504390856
0.05200000000000004,0.013603638451039157,0.4703843265561536,-0.0020860125180125573,-0.08043533504486317,-0.0020860125180125573,1.4762772148839574,0.3320697124723447
0.05300000000000004,0.014089789643201699,0.46965465060694445,-0.0021670585912682556,-0.08104607325569815,-0.0021670585912682556,1.4760857108622962,0.3316692841687425
0.05400000000000004,0.014575227976777533,0.46821954973085383,-0.0022486249486356343,-0.08156635736737866,-0.0022486249486356343,1.4734572632437386,0.33126291597964397
0.05500000000000004,0.015059263390910604,0.46608175788232215,-0.0023306203928495574,-0.08199544421392299,-0.0023306203928495574,1.4683965491581261,0.3308506583404883
0.05600000000000004,0.015541209520699125,0.4632453160500483,-0.0024129531562945843,-0.08233276344502703,-0.0024129531562945843,1.4609129736422126,0.330432561661913
0.057000000000000044,0.01602038496624595,0.45971554347028104,-0.002495531072751198,-0.0825779164566136,-0.002495531072751198,1.451020546211603,0.33000867631915587
0.058000000000000045,0.01649611453250516,0.455499008470689,-0.002578261747928963,-0.08273067517776542,-0.002578261747928963,1.4387377575819993,0.32957905263997606
0.059000000000000045,0.016967730439476313,0.4506034989135373,-0.002661052728636451,-0.08279098070748821,-0.002661052728636451,1.4240874565912942,0.329143740891324
0.060000000000000046,0.01743457350225924,0.4450379921967345,-0.0027438116704302283,-0.082758941793777,-0.0027438116704302283,1.4070967273244723,0.3287027912649815
0.06100000000000005,0.017895994280435524,0.4388126247623993,-0.0028264465035768723,-0.08263483314664406,-0.0028264465035768723,1.3877967663952089,0.3282562538623792
0.06200000000000005,0.018351354196188337,0.4319386610551323,-0.002908865597153007,-0.08241909357613442,-0.002908865597153007,1.3662227602927102,0.3278041786787874
0.06300000000000004,0.01880002662051299,0.42442846186635735,-0.0029909779210989316,-0.08211232394592503,-0.0029909779210989316,1.3424137626604162,0.32734661558706085
0.06400000000000004,0.019241397926807093,0.41629545199705154,-0.003072693206031823,-0.08171528493289164,-0.003072693206031823,1.316412571336057,0.32688361432110635
0.06500000000000004,0.01967486851106376,0.4075540871690176,-0.0031539221006148667,-0.08122889458304366,-0.0031539221006148667,1.2882656049505674,0.3264152244592255
0.06600000000000004,0.020099853777826405,0.3982198201146092,-0.003234576326269344,-0.08065422565447732,-0.003234576326269344,1.2580227788575764,0.325941495407471
0.06700000000000005,0.020515785090999963,0.38830906577650465,-0.0033145688290078224,-0.07999250273847865,-0.0033145688290078224,1.2257373801458329,0.32546247638314013
0.06800000000000005,0.02092211068855393,0.37783916555268654,-0.0033938139281584384,-0.07924509915061592,-0.0033938139281584384,1.1914659414746085,0.32497821639851376
0.06900000000000005,0.02131829656009843,0.3668283505271346,-0.0034722274617430206,-0.07841353358458196,-0.0034722274617430206,1.155268113466707,0.32448876424493583
0.07000000000000005,0.021703827286267387,0.35529570363373014,-0.0035497269282656844,-0.07749946652266365,-0.0035497269282656844,1.1172065353955594,0.32399416847731194
0.07100000000000005,0.022078206838804352,0.3432611207093407,-0.003626231624663692,-0.07650469639800778,-0.003626231624663692,1.0773467039115026,0.32349447739909465
0.07200000000000005,0.022440959340217618,0.3307452704017764,-0.003701662780168983,-0.07543115550529085,-0.003701662780168983,1.0357568395675736,0.3229897390478078
0.07300000000000005,0.022791629781853114,0.3177695529090699,-0.0037759436858269425,-0.07428090565795957,-0.0037759436858269425,0.9925077509263138,0.32248000118115094
0.07400000000000005,0.023129784699226632,0.3043560575380586,-0.003848999819418797,-0.07305613359185417,-0.003848999819418797,0.9476726960558199,0.32196531126371286
0.07500000000000005,0.02345501280346216,0.2905275190823009,-0.003920758965535526,-0.07175914611672933,-0.003920758965535526,0.9013272412543984,0.3214457164543126
0.07600000000000005,0.023766925567700027,0.27630727303165364,-0.003991151330554438,-0.07039236501891191,-0.003991151330554438,0.8535491168782978,0.3209212635939758
0.07700000000000005,0.024065157767367812,0.2617192096381463,-0.004060109652274491,-0.06895832172005262,-0.004060109652274491,0.8044180701848109,0.3203919991945459
0.07800000000000006,0.02434936797324761,0.24678772687485256,-0.0041275693039730995,-0.06745965169860864,-0.0041275693039730995,0.7540157151428695,0.31985796942791955
0.07900000000000006,0.024619238996325468,0.23153768233608288,-0.004193468392655411,-0.0658990886823115,-0.004193468392655411,0.70242537920406,0.31931922011589003
0.08000000000000006,0.024874448576770264,0.21596402928424674,-0.00425776092744363,-0.0642925347882183,-0.00425776092744363,0.6497319470678375,0.3187757594471573
0.08100000000000006,0.02511484260777689,0.2002376761229108,-0.004320403382754704,-0.06264245531107425,-0.004320403382754704,0.5957601781786397,0.31822763986161856
0.08200000000000006,0.02534028755043698,0.1843799372101241,-0.0043813545143161865,-0.06095113156148257,-0.0043813545143161865,0.5404240410193994,0.31767491312659635
0.08300000000000006,0.02555067201906339,0.16841369971172077,-0.0044405760060822475,-0.05922149176606053,-0.0044405760060822475,0.4847002776633502,0.31711762999493076
0.08400000000000006,0.025745906979197597,0.152362064580792,-0.0044980325199178,-0.05745651383555188,-0.0044980325199178,0.42865553894827335,0.31655584023762157
0.08500000000000006,0.025925925914317437,0.13624831506713378,-0.004553691744979842,-0.055659225062042565,-0.004553691744979842,0.3723653619405549,0.3159895926721867
0.08600000000000006,0.026090684945698463,0.12009586982157423,-0.004607524441122592,-0.05383269614274971,-0.004607524441122592,0.315906025827853,0.31541893518979874
0.08700000000000006,0.026240162902707725,0.10392823316577711,-0.00465950447599147,-0.05198003486887873,-0.00465950447599147,0.25935448583415743,0.3148439147810036
0.08800000000000006,0.026374361341449652,0.08776894317441018,-0.004709608855505338,-0.05010437951386767,-0.004709608855505338,0.20278822046584022,0.31426457755990445
0.08900000000000007,0.026493304510333528,0.07164151822536359,-0.004757817747497825,-0.04820889199248707,-0.004757817747497825,0.1462850667714639,0.3136809687867383
0.09000000000000007,0.02659703926169379,0.05556940258615922,-0.004804114498351427,-0.0462967508536021,-0.004804114498351427,0.089923046025713,0.313093132888805
