rank,kp_pitch,kd_pitch,kx,kv,hip_pitch,knee,leg_kp,leg_kd,warning_count,finite,non_wheel_ground_contact_count,non_wheel_ground_contact_geoms,final_abs_pitch,peak_abs_pitch,peak_abs_x_drift,wheel_torque_saturation_fraction,standing_score,meets_standing_objective
286,35.0,4.0,0.0,10.0,0.0,0.1,60.0,4.0,0,True,0,,0.0793255286890275,0.08074762509546664,0.4789950560675837,0.0,0.9577924210146269,False
287,35.0,6.0,16.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.1173084879292959,0.1338293264673453,0.23040201168589144,0.0,0.9672946163377657,True
288,35.0,6.0,20.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.12167281686969983,0.14435369111958535,0.19980809917736028,0.0,0.9752067488953303,True
289,35.0,4.0,0.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.08568574837252793,0.11670039763119651,0.42263233395143224,0.0,0.9987761227039369,False
290,20.0,6.0,0.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.10574825190053798,0.1438101092324643,0.30097602289835157,0.0,1.0115892489654321,False
291,15.0,6.0,20.0,12.0,-0.2,0.25,60.0,4.0,0,True,0,,0.15071635657277768,0.16207791550203404,0.08630954609790027,0.0,1.013330803393079,True
292,35.0,6.0,0.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.10086862476460531,0.10086862476460531,0.41711699674081054,0.0,1.0223287453284424,False
293,20.0,6.0,0.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.10810962136773128,0.11950997523004028,0.35176742628799285,0.0,1.0232258622189985,False
294,35.0,6.0,0.0,10.0,0.0,0.1,60.0,4.0,0,True,0,,0.08497917935755585,0.0862773708541763,0.5114172241956532,0.0,1.023888683334229,False
295,20.0,6.0,16.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.1319487700349123,0.17382374051799174,0.15811073544273135,0.0,1.033553296618364,True
296,35.0,4.0,0.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.08955175505718944,0.09921072789043445,0.4782425013841547,0.0,1.0348709773937814,False
297,20.0,4.0,0.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.10596417449413635,0.1481204415253388,0.3294443148129917,0.0,1.0495418958402147,False
298,15.0,6.0,0.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.12788498052636338,0.1667391828116068,0.25469009656724373,0.0,1.0997083842959108,True
299,35.0,6.0,0.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.11927830679693036,0.11927830679693036,0.4734128442469556,0.0,1.1890826850285379,False
300,20.0,6.0,16.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.14045926020977972,0.2379971662501238,0.17284231303613667,0.0,1.2106736863755032,True
301,15.0,4.0,0.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.13225394959526807,0.22451132098281365,0.243114647608848,0.0,1.2211530879555474,True
302,15.0,4.0,0.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.14246651579876662,0.19035834480879155,0.2967114153442206,0.0,1.24729416815687,True
303,20.0,4.0,20.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.12133553570932583,0.3195517019765249,0.16496031923867782,0.0,1.289405866029031,True
304,20.0,6.0,20.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.15634987020630486,0.25861701893437883,0.1714385213892922,0.0,1.3140720400832693,True
305,20.0,4.0,16.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.16226168511394973,0.2535382345149677,0.16620444597012227,0.0,1.3223276554558565,True
306,20.0,4.0,20.0,10.0,-0.2,0.18,60.0,4.0,0,True,0,,0.21072155029300213,0.21709174185635077,0.11277127333194742,0.0,1.3898409582166575,True
307,20.0,4.0,20.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.2248842943585184,0.2774491659904801,0.1647638651842249,0.0,1.6191993745992588,True
308,15.0,4.0,16.0,10.0,-0.2,0.25,60.0,4.0,0,True,0,,0.2935341722618747,0.2935341722618747,0.12049655407160313,0.0,1.8817015876428516,False
309,15.0,4.0,20.0,10.0,-0.2,0.25,60.0,4.0,0,True,0,,0.3245579406333161,0.3245579406333161,0.1419384413925468,0.0,2.0892860851924433,False
310,15.0,4.0,16.0,10.0,-0.2,0.18,60.0,4.0,0,True,0,,0.37797901937265327,0.37800569017699964,0.17936582800377474,0.0,2.447293285848387,False
311,15.0,4.0,16.0,12.0,-0.2,0.25,60.0,4.0,0,True,0,,0.38337984620565896,0.454673521601513,0.1564291559021334,0.0,2.599295583927795,False
